content,score,app_id,label
shopee memang pilihan saya.,2,com.shopee.id,Negative
sangat bagus puassssssss bngettttt👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5,com.shopee.id,Positive
mntap,5,com.shopee.id,Positive
"senang skl belanja di Shopee, barang dateng sesuai pesanan, tanks shophee",5,com.shopee.id,Positive
CS nya TOLOL sama kayak aplikasinya,1,com.shopee.id,Negative
mntap,2,com.shopee.id,Negative
aneh noh pesanan belum saya terima kok disuruh sekesai + minta bintang ???,3,com.shopee.id,Neutral
ngge puas x dg shope,5,com.shopee.id,Positive
mantap pokoknya,5,com.shopee.id,Positive
belanja disini sebenarnya mudah dan nyaman tapi kadang pelayanannya kurang respon dan pengirimannya terlalu lama kebanyakan drama.,2,com.shopee.id,Negative
"kurir paket shope yang nganter suka lama nganter pketnya dan sering ganti"" orang dan gak tau alamat kita",2,com.shopee.id,Negative
"tolong kasih sangsi buat penipuan iklan dan barang yg tidak sesuai.gimana ini yg di iklankan barang asli setelah datang barang merk lain setelah lihat riview orang orang. waduh, parah ini shopee apa gak pernah ada kulifikasi penjualan dan iklan gitu ya sehingga yg jualan pada nagwur ngawur.. bnyak sekali yg gitu saya yg saya liat tolong lah.. perbaiki lagi supaya tidak kena tipu para pembuat iklan yg tidak sesuai ..",1,com.shopee.id,Negative
cepat di pahamilah,5,com.shopee.id,Positive
selamat pagi semoga berhasil dan bermanfaat,5,com.shopee.id,Positive
sangat buruk,2,com.shopee.id,Negative
"APLIKASI PALING LEMOT !!! TIAP MAU BELANJA DISINI PASTI BATAL GEGARA NUNGGUIN LOADINGNYA LAMA BGT MALAH KADANG BALIK KE STELAN AWAL LAGI. MENDING BELANJA DIAPLIKASI LAIN YANG SAT SET, LSG KE BERANDA. APLIKASI LAIN GK PERNAH ADA YANG LEMOT SEPERTI TIKTOK, TOKOPEDIA, LAZADA, BLIBLI SEMUANYA LANCAR. HERAN.... CUMA SHOPEE YG LEMOT, UDAH KYK APLIKASI ABAL² GAK BISA DIPAKAI 👎👎 AUTO UNINSTALL",1,com.shopee.id,Negative
mahalll 😒,1,com.shopee.id,Negative
baik,3,com.shopee.id,Neutral
"jelek sering ngeleg, keluar terus gajelas, vouchernya juga gabisa dipakai padahal pengguna baru👎",1,com.shopee.id,Negative
👍,5,com.shopee.id,Positive
saya lgi kepepet malah gagal terus,1,com.shopee.id,Negative
"pengiriman lama banget cok kalo non COD, giliran COD cepet bnget anj ...",1,com.shopee.id,Negative
gagal terus bayar pake saldo.. saldo udah masuk lagi,1,com.shopee.id,Negative
please shopee jangan update terus setiap bulan dan event nya.. kasihan yg mau belanja tapi ram tidak mencukupi untuk mengupdate dirimu. cukup 1x atau 2x,1,com.shopee.id,Negative
plisss jangan spam iklan di aplikasi nonton ku 🙏🙏aku dah bosan lihat iklanmu itu,1,com.shopee.id,Negative
"saya hapus!! di karenakan tidak tau kenapa tiba-tiba tidak bisa COD padahal tidak ada buat kesalahan apa apa, tolong lah apk nya di perbaiki!! cuma bisa ngasih bintang 1 kalau bisa setengah bintang saya kasih juga!!!",1,com.shopee.id,Negative
aman dan terpercaya,5,com.shopee.id,Positive
aplikasi sangat berguna dan membantu,5,com.shopee.id,Positive
"sangat berguna bagi para gen z sekarang yg mls jalan ,hadinya tinggal pencet aja nanti nunggu datang",5,com.shopee.id,Positive
Pelayanan sangat membantu,5,com.shopee.id,Positive
👎👎👎👎👎,1,com.shopee.id,Negative
trimakasih kak,5,com.shopee.id,Positive
setiap buka crome slalu ada iklan shopenya di suruh masuk/download aplikasinya,1,com.shopee.id,Negative
